source_kind,method,system,returncode,energy_cp2k_hartree,energy_cli_hartree,energy_absdiff_hartree,gradient_diff_sum,gradient_diff_max,virial_diff_sum,virial_diff_max,exceeded_error_limit,skipped,source,run_dir
initial,GFN1,14-cyclohexanedione,0,-5.286848562954E+01,-5.286848562865E+01,8.908713766687E-10,3.133730229036E-06,1.888387972720E-07,2.385339998607E-06,6.491651106874E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/14-cyclohexanedione_GFN1_gamma_cellopt.inp,initial/GFN1/14-cyclohexanedione
initial,GFN1,acetic_acid,0,-6.293954624433E+01,-6.293954622558E+01,1.875503841120E-08,5.357726427561E-06,2.400955387481E-07,3.478310483334E-06,2.028760698325E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/acetic_acid_GFN1_gamma_cellopt.inp,initial/GFN1/acetic_acid
initial,GFN1,adamantane,0,-5.924134557199E+01,-5.924134554448E+01,2.751590955086E-08,6.703337181550E-07,1.500335872207E-08,4.199161740274E-07,2.878691196528E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/adamantane_GFN1_gamma_cellopt.inp,initial/GFN1/adamantane
initial,GFN1,ammonia,0,-1.935704314895E+01,-1.935704314365E+01,5.299579441953E-09,2.663469308769E-07,7.848628236912E-09,6.293865897200E-09,2.097964635350E-09,False,False,X23b/inputs/cellopt_gamma/GFN1/ammonia_GFN1_gamma_cellopt.inp,initial/GFN1/ammonia
initial,GFN1,anthracene,0,-6.986560618549E+01,-6.986560615484E+01,3.064626241667E-08,3.852045846677E-07,7.454286219538E-09,1.469533946792E-06,9.090016179769E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/anthracene_GFN1_gamma_cellopt.inp,initial/GFN1/anthracene
initial,GFN1,benzene,0,-6.364410897791E+01,-6.364410897553E+01,2.379380248385E-09,6.830794662609E-07,1.057981026953E-07,4.526114439764E-06,1.878274619661E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/benzene_GFN1_gamma_cellopt.inp,initial/GFN1/benzene
initial,GFN1,co2,0,-4.619869188381E+01,-4.619869188900E+01,5.188375951093E-09,1.575288819704E-07,6.563704267604E-09,6.342759894475E-08,2.114252684038E-08,False,False,X23b/inputs/cellopt_gamma/GFN1/co2_GFN1_gamma_cellopt.inp,initial/GFN1/co2
initial,GFN1,cyanamide,0,-7.632418616382E+01,-7.632418614302E+01,2.080250283143E-08,1.387183322432E-06,5.080866991025E-08,1.881843137033E-06,1.274809396712E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/cyanamide_GFN1_gamma_cellopt.inp,initial/GFN1/cyanamide
initial,GFN1,cytosine,0,-1.017541645271E+02,-1.017541645087E+02,1.846460406796E-08,1.090837777735E-06,2.643154101145E-08,2.763270431552E-07,2.267456968852E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/cytosine_GFN1_gamma_cellopt.inp,initial/GFN1/cytosine
initial,GFN1,ethylcarbamate,0,-4.541858827114E+01,-4.541858826290E+01,8.240576221397E-09,4.340991101994E-07,3.583505049642E-08,2.039060732345E-07,4.443340495541E-08,False,False,X23b/inputs/cellopt_gamma/GFN1/ethylcarbamate_GFN1_gamma_cellopt.inp,initial/GFN1/ethylcarbamate
initial,GFN1,formamide,0,-4.644878777868E+01,-4.644878776026E+01,1.842518315698E-08,2.454543803691E-07,7.215553862738E-09,6.787232948546E-07,2.015004412215E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/formamide_GFN1_gamma_cellopt.inp,initial/GFN1/formamide
initial,GFN1,hexamine,0,-3.195502112867E+01,-3.195502110836E+01,2.031424273241E-08,2.236954502007E-07,2.001019125918E-08,1.195309699281E-06,3.983941058577E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/hexamine_GFN1_gamma_cellopt.inp,initial/GFN1/hexamine
initial,GFN1,imidazole,0,-5.956074064714E+01,-5.956074064000E+01,7.141700564262E-09,4.071577351924E-06,1.636699824741E-07,4.217615552160E-06,1.131740776664E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/imidazole_GFN1_gamma_cellopt.inp,initial/GFN1/imidazole
initial,GFN1,naphthalene,0,-5.077361424374E+01,-5.077361421718E+01,2.656385333921E-08,1.167957931106E-06,3.211846177908E-08,1.083382289135E-06,8.542033400616E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/naphthalene_GFN1_gamma_cellopt.inp,initial/GFN1/naphthalene
initial,GFN1,oxalic_acid_alpha,0,-9.653181565018E+01,-9.653181564041E+01,9.772676889952E-09,6.422059593150E-06,1.966755843741E-07,5.083383530008E-06,3.271628060297E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/oxalic_acid_alpha_GFN1_gamma_cellopt.inp,initial/GFN1/oxalic_acid_alpha
initial,GFN1,oxalic_acid_beta,0,-4.828489642974E+01,-4.828489642526E+01,4.473136527849E-09,2.027632823691E-07,9.295867953868E-09,3.529045809386E-07,2.091018328487E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/oxalic_acid_beta_GFN1_gamma_cellopt.inp,initial/GFN1/oxalic_acid_beta
initial,GFN1,pyrazine,0,-3.375670782383E+01,-3.375670781057E+01,1.326259990719E-08,1.236231105559E-07,5.049571202582E-09,3.910521014984E-07,1.932922901737E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/pyrazine_GFN1_gamma_cellopt.inp,initial/GFN1/pyrazine
initial,GFN1,pyrazole,0,-1.184558658528E+02,-1.184558658100E+02,4.271146281098E-08,4.901850145818E-06,1.191788415386E-07,1.683209900991E-06,8.540353828579E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/pyrazole_GFN1_gamma_cellopt.inp,initial/GFN1/pyrazole
initial,GFN1,succinic_acid,0,-6.116720792600E+01,-6.116720792673E+01,7.382965350189E-10,3.986389152746E-06,1.933876562620E-07,4.090669757908E-06,1.373179802533E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/succinic_acid_GFN1_gamma_cellopt.inp,initial/GFN1/succinic_acid
initial,GFN1,triazine,0,-1.046605211681E+02,-1.046605211365E+02,3.157497019401E-08,3.392272627097E-07,7.458898415580E-09,9.550095267936E-07,4.465946319421E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/triazine_GFN1_gamma_cellopt.inp,initial/GFN1/triazine
initial,GFN1,trioxane,0,-1.422388558058E+02,-1.422388558003E+02,5.486896270668E-09,1.094949003897E-06,1.250957616054E-08,3.886471954657E-07,1.742938132709E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/trioxane_GFN1_gamma_cellopt.inp,initial/GFN1/trioxane
initial,GFN1,uracil,0,-1.054539514663E+02,-1.054539514394E+02,2.691233191854E-08,8.537522820354E-06,2.583689104503E-07,6.526546624868E-06,3.297368852628E-06,True,False,X23b/inputs/cellopt_gamma/GFN1/uracil_GFN1_gamma_cellopt.inp,initial/GFN1/uracil
initial,GFN1,urea,0,-3.087864945531E+01,-3.087864946308E+01,7.776286281569E-09,6.251798877576E-07,7.048199967413E-08,5.669093446058E-07,5.442370435288E-07,False,False,X23b/inputs/cellopt_gamma/GFN1/urea_GFN1_gamma_cellopt.inp,initial/GFN1/urea
wsc_last_restart,GFN1,14-cyclohexanedione,0,-5.288683206194E+01,-5.288683206891E+01,6.971404786782E-09,1.152764959999E-06,8.079166144317E-08,8.200662746654E-07,2.410555796136E-07,False,False,X23b/runs/cellopt_gamma/GFN1/14-cyclohexanedione_GFN1_gamma_cellopt/14_cyclohexanedione_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/14-cyclohexanedione
wsc_last_restart,GFN1,acetic_acid,0,-6.332234356865E+01,-6.332234357006E+01,1.417511441559E-09,2.824276601866E-06,1.436286139092E-07,1.705705527791E-06,1.196467885878E-06,True,False,X23b/runs/cellopt_gamma/GFN1/acetic_acid_GFN1_gamma_cellopt/acetic_acid_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/acetic_acid
